time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2023-12-22,12,8,3,15,4,7,6,9,5
2023-12-23,9,6,2,12,6,8,7,10,6
2023-12-24,11,9,3,15,4,8,7,11,8
2023-12-25,10,5,4,16,6,7,10,10,5
2023-12-26,8,6,4,17,9,8,9,8,5
2023-12-27,10,5,3,19,7,7,8,12,8
2023-12-28,10,5,2,15,7,8,9,8,6
2023-12-29,7,5,6,19,5,6,9,8,8
2023-12-30,10,5,5,19,7,8,8,10,6
2023-12-31,9,6,7,19,6,8,8,9,6
2024-01-01,9,4,6,15,8,6,6,10,6
2024-01-02,11,4,8,16,9,7,8,10,7
2024-01-03,13,6,8,16,7,7,7,9,4
2024-01-04,7,5,9,17,7,8,7,9,7
2024-01-05,11,7,7,16,7,8,8,11,5
2024-01-06,7,8,10,15,8,8,7,11,4
2024-01-07,12,7,9,16,6,8,10,10,6
2024-01-08,12,9,7,15,7,8,9,8,8
2024-01-09,10,7,9,15,6,8,8,9,4
2024-01-10,9,7,7,14,6,8,7,10,6
2024-01-11,11,6,7,16,7,8,7,7,6
2024-01-12,11,8,7,16,6,8,7,12,6
2024-01-13,9,5,8,14,6,8,7,10,6
2024-01-14,12,7,9,17,6,8,7,8,5
2024-01-15,11,4,6,14,6,8,8,11,7
2024-01-16,11,7,9,0,6,7,9,9,5
2024-01-17,9,5,8,13,8,8,8,8,7
2024-01-18,10,6,9,13,6,8,7,9,6
2024-01-19,12,7,7,13,8,8,7,10,5
2024-01-20,13,9,6,14,7,8,6,11,5
2024-01-21,14,6,7,12,8,8,8,10,5
2024-01-22,10,6,8,16,7,10,8,11,5
2024-01-23,10,8,8,13,5,9,9,9,6
2024-01-24,13,7,8,14,9,11,10,8,5
2024-01-25,10,5,7,13,6,10,11,11,5
2024-01-26,10,4,8,15,7,7,9,11,5
2024-01-27,12,6,7,12,7,7,8,9,6
2024-01-28,10,5,6,13,6,8,8,7,6
2024-01-29,8,6,7,14,6,8,11,11,4
2024-01-30,9,8,6,13,7,10,8,8,8
2024-01-31,10,7,6,13,5,9,9,12,6
2024-02-01,15,6,8,12,3,9,8,9,6
2024-02-02,10,5,7,13,8,8,9,10,7
2024-02-03,8,7,7,13,3,7,9,10,4
2024-02-04,11,7,7,15,5,10,5,10,7
2024-02-05,11,8,6,13,6,10,7,7,6
2024-02-06,10,6,9,11,6,9,8,11,8
2024-02-07,0,7,7,14,4,8,8,10,5
2024-02-08,0,6,10,14,6,9,9,10,6
2024-02-09,0,6,9,12,7,10,7,8,6
2024-02-10,0,10,8,11,6,8,11,14,7
2024-02-11,0,5,8,14,6,7,8,9,5
2024-02-12,0,8,7,14,7,7,8,12,7
2024-02-13,0,10,9,14,6,8,7,7,7
2024-02-14,11,7,6,12,10,5,7,11,4
2024-02-15,10,6,9,13,4,9,7,9,6
2024-02-16,7,6,8,13,2,9,6,11,6
2024-02-17,10,7,7,14,7,11,10,10,5
2024-02-18,8,7,6,14,6,8,7,9,6
2024-02-19,8,7,10,16,5,9,8,7,8
2024-02-20,8,7,7,12,7,8,9,12,5
2024-02-21,10,7,8,12,6,10,8,10,4
2024-02-22,11,4,7,12,7,8,9,8,5
2024-02-23,8,6,8,13,6,11,6,13,8
2024-02-24,6,5,8,14,6,10,9,8,8
2024-02-25,10,5,6,14,5,8,7,9,11
2024-02-26,11,7,7,13,6,10,9,8,9
2024-02-27,8,6,7,10,6,9,8,12,7
2024-02-28,8,5,6,14,6,10,9,9,7
2024-02-29,9,7,7,13,5,6,8,13,5
2024-03-01,11,7,8,12,6,7,8,9,9
2024-03-02,10,5,8,13,5,11,9,9,5
2024-03-03,10,6,8,13,5,8,8,11,6
2024-03-04,8,6,8,13,5,9,7,8,6
2024-03-05,11,5,8,12,7,10,8,9,7
2024-03-06,7,5,7,12,6,10,9,9,8
2024-03-07,10,7,5,13,7,7,8,10,7
2024-03-08,9,5,9,14,6,6,5,8,7
2024-03-09,10,8,8,14,5,9,7,10,7
2024-03-10,11,5,8,14,5,0,9,9,5
2024-03-11,8,6,5,14,6,0,10,11,6
2024-03-12,11,6,6,13,6,0,8,9,7
2024-03-13,10,7,8,12,7,0,9,8,4
2024-03-14,8,6,6,13,6,0,6,12,7
