time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2023-10-02,6,8,1,1,1,2,1,4,7
2023-10-03,5,4,4,0,0,3,4,5,2
2023-10-04,1,3,0,1,0,4,4,3,2
2023-10-05,3,1,0,0,0,6,1,1,2
2023-10-06,4,6,5,0,0,2,2,6,3
2023-10-07,5,8,8,0,2,3,3,5,6
2023-10-08,8,5,3,1,2,5,3,6,4
2023-10-09,3,3,2,0,2,0,0,4,3
2023-10-10,5,2,2,0,0,2,1,2,2
2023-10-11,3,2,3,0,0,1,2,4,1
2023-10-12,9,1,3,1,2,1,2,5,2
2023-10-13,5,3,2,0,0,2,2,4,2
2023-10-14,3,2,0,1,1,3,2,3,1
2023-10-15,4,2,3,2,0,4,4,1,1
2023-10-16,3,3,3,0,1,3,5,1,1
2023-10-17,5,2,4,2,1,4,1,4,1
2023-10-18,6,1,2,0,0,1,1,5,0
2023-10-19,5,1,0,1,0,1,2,5,1
2023-10-20,4,3,3,0,0,2,3,3,1
2023-10-21,4,1,2,1,0,3,2,4,1
2023-10-22,4,5,1,1,3,4,1,6,3
2023-10-23,4,2,6,0,0,5,3,5,1
2023-10-24,1,1,3,0,0,3,1,1,0
2023-10-25,1,4,2,0,1,2,0,0,6
2023-10-26,2,4,3,0,1,2,2,3,4
2023-10-27,1,2,1,2,0,1,3,3,1
2023-10-28,5,4,2,0,1,4,3,6,6
2023-10-29,1,3,0,0,2,6,5,2,2
2023-10-30,5,2,6,1,3,4,3,6,2
2023-10-31,6,3,4,1,2,7,5,2,1
2023-11-01,2,4,6,0,0,4,4,4,2
2023-11-02,4,1,6,1,0,1,7,10,1
2023-11-03,1,6,5,0,2,2,3,2,3
2023-11-04,4,4,4,0,1,4,4,3,4
2023-11-05,7,2,2,0,1,4,8,8,2
2023-11-06,6,3,6,1,4,4,4,4,0
2023-11-07,1,7,3,0,1,1,2,4,7
2023-11-08,8,5,4,1,1,4,2,3,2
2023-11-09,2,1,1,0,0,2,0,1,1
2023-11-10,1,1,3,0,0,3,2,5,1
2023-11-11,9,10,2,0,2,8,0,5,11
2023-11-12,4,9,2,0,1,3,2,3,5
2023-11-13,2,5,3,0,0,2,2,7,3
2023-11-14,5,6,3,0,0,1,1,4,4
2023-11-15,7,4,3,0,4,3,4,6,4
2023-11-16,6,4,4,0,0,5,3,4,3
2023-11-17,5,4,2,0,1,2,4,3,5
2023-11-18,3,1,1,0,0,0,3,3,1
2023-11-19,2,1,4,0,1,1,5,5,2
2023-11-20,3,0,3,1,1,2,3,3,0
2023-11-21,4,0,6,0,3,3,4,4,1
2023-11-22,1,0,6,2,0,1,2,2,0
2023-11-23,2,2,1,0,0,1,2,4,0
2023-11-24,4,0,1,1,1,2,1,3,1
2023-11-25,4,3,3,2,2,4,3,3,3
2023-11-26,1,1,2,1,2,4,5,2,3
2023-11-27,5,2,4,1,2,3,0,2,0
2023-11-28,5,3,3,0,2,4,6,3,1
2023-11-29,5,2,3,0,1,4,3,2,2
2023-11-30,4,0,2,0,0,4,5,3,1
2023-12-01,4,1,4,1,3,5,3,4,1
2023-12-02,4,0,3,1,0,3,2,3,2
2023-12-03,5,5,2,1,0,5,3,3,2
2023-12-04,3,5,1,0,2,6,3,6,5
2023-12-05,8,3,4,0,0,3,2,4,4
2023-12-06,4,2,3,2,0,1,6,2,1
2023-12-07,4,1,3,1,1,4,1,5,0
2023-12-08,6,4,2,3,1,4,2,4,2
2023-12-09,4,2,2,2,3,1,4,3,3
2023-12-10,4,2,1,1,2,3,2,3,2
2023-12-11,0,4,0,2,0,2,0,3,3
2023-12-12,4,1,0,1,1,2,3,2,2
2023-12-13,9,0,4,2,1,5,2,4,0
2023-12-14,3,2,1,0,0,3,1,6,3
2023-12-15,4,1,2,2,0,7,3,7,0
2023-12-16,5,3,2,1,0,1,3,3,3
2023-12-17,5,4,3,1,1,4,3,7,4
2023-12-18,5,3,2,0,0,2,4,2,2
2023-12-19,4,4,0,0,1,5,4,3,3
2023-12-20,3,3,2,0,1,2,4,6,3
2023-12-21,3,0,1,0,1,3,2,4,0
2023-12-22,5,3,3,1,1,2,2,8,1
2023-12-23,5,1,3,1,2,6,5,10,2
2023-12-24,5,2,3,0,0,3,7,2,4
2023-12-25,2,3,0,0,1,2,1,3,1
2023-12-26,4,1,4,2,1,2,2,4,0
2023-12-27,5,1,2,0,0,5,2,5,1
2023-12-28,5,0,3,1,0,2,2,7,2
2023-12-29,5,2,5,1,0,2,1,4,2
2023-12-30,6,1,2,1,2,3,2,0,3
2023-12-31,3,2,3,3,3,1,0,1,0
2024-01-01,1,3,2,2,0,3,2,4,3
2024-01-02,3,2,0,2,0,3,1,4,3
2024-01-03,6,2,4,1,3,5,0,2,1
2024-01-04,5,1,4,2,3,4,0,1,4
2024-01-05,7,4,4,1,0,4,2,2,2
2024-01-06,5,3,4,0,2,4,2,6,5
2024-01-07,1,6,3,0,0,0,1,3,8
2024-01-08,2,2,2,0,0,2,1,6,3
2024-01-09,3,6,9,0,4,3,5,2,8
2024-01-10,9,10,6,0,0,2,3,5,5
2024-01-11,5,5,0,0,0,1,4,1,4
2024-01-12,8,6,6,0,1,3,1,6,4
2024-01-13,8,2,7,0,0,3,4,6,5
2024-01-14,5,4,4,1,2,3,3,1,2
2024-01-15,5,3,5,0,1,2,2,5,2
2024-01-16,4,5,3,0,3,2,4,2,3
2024-01-17,6,6,4,0,1,2,1,7,4
2024-01-18,8,3,6,0,2,3,6,3,3
2024-01-19,5,5,1,0,2,3,7,4,2
2024-01-20,7,6,4,0,3,1,1,2,4
2024-01-21,5,4,8,0,0,2,1,7,2
2024-01-22,2,5,3,0,0,4,1,4,5
2024-01-23,5,2,3,0,1,0,4,3,5
2024-01-24,8,8,4,0,2,4,3,1,5
2024-01-25,7,1,3,0,0,6,2,7,3
2024-01-26,6,5,9,0,1,6,1,1,4
2024-01-27,7,5,8,0,0,8,1,9,5
2024-01-28,8,3,2,0,0,3,6,2,4
2024-01-29,8,4,4,0,0,2,8,6,1
2024-01-30,5,2,0,0,0,3,2,2,2
2024-01-31,7,4,2,0,0,2,4,8,3
2024-02-01,9,3,4,0,1,4,4,3,4
2024-02-02,7,3,3,0,1,4,3,5,2
2024-02-03,3,1,2,0,0,6,2,1,1
2024-02-04,9,4,6,0,0,4,1,3,4
2024-02-05,5,2,6,0,0,4,4,3,2
2024-02-06,5,7,4,0,2,4,5,5,5
2024-02-07,0,4,1,0,1,4,3,4,3
2024-02-08,0,5,2,0,0,3,2,3,5
2024-02-09,0,2,0,0,0,1,1,1,3
2024-02-10,0,3,1,0,1,3,3,2,1
2024-02-11,0,5,1,0,0,1,0,1,6
2024-02-12,0,3,4,0,2,2,3,3,3
2024-02-13,0,0,3,0,1,2,5,3,1
2024-02-14,4,6,3,0,2,4,5,8,3
2024-02-15,2,4,4,1,0,5,4,3,2
2024-02-16,4,3,6,0,1,4,2,6,5
2024-02-17,3,1,1,0,2,3,6,5,1
2024-02-18,3,5,2,0,0,2,1,3,2
2024-02-19,5,3,2,0,0,2,4,4,2
2024-02-20,2,1,3,0,1,4,1,3,0
2024-02-21,4,5,3,0,2,2,2,2,3
2024-02-22,6,5,4,0,2,3,4,3,5
2024-02-23,4,4,3,0,4,3,2,2,2
2024-02-24,2,1,3,0,1,3,1,3,4
2024-02-25,4,2,6,0,0,4,2,2,2
2024-02-26,1,4,3,0,1,4,1,1,3
2024-02-27,2,2,3,0,0,6,5,2,2
2024-02-28,2,0,3,0,0,2,1,0,0
2024-02-29,4,2,2,0,0,4,1,4,3
2024-03-01,3,4,2,0,3,3,2,4,1
2024-03-02,9,7,4,0,0,3,5,1,7
2024-03-03,5,2,4,0,0,6,2,7,5
2024-03-04,6,3,3,1,0,6,2,6,5
2024-03-05,4,2,5,0,2,5,4,6,5
2024-03-06,0,3,5,0,0,5,5,2,4
2024-03-07,3,5,1,1,0,4,2,3,5
2024-03-08,4,5,2,0,0,1,1,2,3
2024-03-09,4,2,2,1,0,5,1,0,4
2024-03-10,7,2,6,0,1,0,8,4,0
2024-03-11,4,3,4,0,1,0,2,2,2
2024-03-12,6,4,6,0,1,0,2,5,5
2024-03-13,2,6,3,0,0,0,2,1,6
2024-03-14,6,2,4,1,2,0,0,6,5
2024-03-15,2,3,4,1,2,0,2,3,3
2024-03-16,5,1,3,0,0,5,7,4,1
2024-03-17,1,4,4,0,1,3,0,3,2
2024-03-18,4,2,4,1,0,2,3,4,2
2024-03-19,4,1,2,0,2,4,0,6,2
2024-03-20,4,3,2,0,1,1,1,0,6
2024-03-21,0,3,1,0,1,0,1,2,2
2024-03-22,5,4,6,0,2,2,4,3,4
2024-03-23,3,2,1,0,2,1,2,3,2
2024-03-24,4,3,4,0,2,3,4,5,3
2024-03-25,9,1,5,1,0,4,3,5,4
2024-03-26,0,2,0,0,0,1,1,3,3
2024-03-27,3,2,3,0,1,3,3,1,4
2024-03-28,5,5,2,1,2,2,3,2,4
2024-03-29,2,4,4,1,0,0,2,2,5
2024-03-30,3,8,1,0,0,1,0,1,9
2024-03-31,0,2,6,0,0,3,2,4,3
2024-04-01,2,4,5,0,0,1,3,3,4
2024-04-02,2,3,3,1,1,0,1,1,4
2024-04-03,4,1,2,0,1,3,0,1,2
2024-04-04,4,3,4,0,1,3,2,1,5
2024-04-05,4,2,1,0,0,0,1,2,1
2024-04-06,5,5,2,0,1,3,3,6,6
