time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2023-04-05,24.99.0,24.0.1,22.99.0,24.99.0,24.0.1,24.99.0,24.0.1,24.99.0,24.99.0
2023-04-06,24.99.0,24.99.0,24.0.1,24.0.1,24.0.1,24.99.0,24.99.0,24.0.1,24.99.0
2023-04-07,24.99.0,24.99.0,24.0.1,24.99.0,24.0.1,24.99.0,24.0.1,24.0.1,24.99.0
2023-04-08,24.0.1,24.0.1,22.99.0,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1,24.99.0
2023-04-09,24.0.1,24.99.0,22.0.0,24.99.0,24.0.1,24.0.1,24.99.0,24.99.0,24.99.0
2023-04-10,24.99.0,24.99.0,22.0.0,24.99.0,24.99.0,24.99.0,24.0.1,24.99.0,24.0.1
2023-04-11,24.99.0,24.0.1,22.0.0,24.0.1,24.99.0,24.99.0,24.99.0,24.0.1,24.99.0
2023-04-12,24.99.0,24.99.0,22.0.0,24.99.0,24.99.0,24.0.1,24.0.1,24.0.1,24.99.0
2023-04-13,24.0.1,24.99.0,22.0.0,,24.0.1,24.0.1,24.99.0,24.0.1,24.0.1
2023-04-14,24.0.1,24.0.1,24.0.1,24.99.0,24.0.1,24.99.0,24.0.1,24.0.1,24.99.0
2023-04-15,24.99.0,24.0.1,22.0.0,24.0.1,24.0.1,24.99.0,24.99.0,24.0.1,24.99.0
2023-04-16,24.99.0,24.99.0,22.0.0,24.99.0,24.0.1,24.99.0,24.99.0,24.99.0,24.0.1
2023-04-17,24.0.1,24.99.0,22.0.0,24.99.0,24.0.1,24.99.0,24.99.0,24.99.0,24.99.0
2023-04-18,24.99.0,24.99.0,22.99.0,24.0.1,24.0.1,24.0.1,24.99.0,24.0.1,24.99.0
2023-04-19,24.99.0,24.99.0,22.1.0,24.0.1,24.1.0,24.99.0,24.99.0,24.99.0,24.0.1
2023-04-20,24.99.0,24.99.0,22.0.0,24.99.0,24.0.1,24.0.1,24.99.0,24.1.0,24.99.0
2023-04-21,24.99.0,24.99.0,22.0.0,24.99.0,24.0.1,24.0.1,24.99.0,24.0.1,24.99.0
2023-04-22,24.99.0,24.99.0,22.0.0,24.99.0,24.0.1,24.99.0,24.0.1,24.0.1,24.99.0
2023-04-23,25.99.0,24.99.0,24.0.1,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1,24.99.0
2023-04-24,24.0.1,24.99.0,22.0.0,24.99.0,24.0.1,24.99.0,24.0.1,24.0.1,24.99.0
2023-04-25,24.99.0,24.99.0,22.0.0,25.99.0,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1
2023-04-26,24.0.1,24.99.0,22.0.0,24.99.0,24.99.0,24.0.1,24.0.1,25.0.0,24.99.0
2023-04-27,25.0.0,24.0.1,22.0.0,24.99.0,24.0.1,24.99.0,24.0.1,25.99.0,25.99.0
2023-04-28,24.99.0,24.99.0,22.0.0,25.0.0,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1
2023-04-29,24.99.0,24.99.0,22.0.0,24.99.0,24.99.0,25.99.0,24.0.1,24.99.0,24.0.1
2023-04-30,24.99.0,25.0.0,22.0.0,24.0.1,24.0.1,24.99.0,24.99.0,24.0.1,24.99.0
2023-05-01,24.99.0,24.0.1,22.0.0,24.0.1,24.99.0,24.0.1,24.0.1,24.99.0,24.99.0
2023-05-02,25.0.0,24.0.1,22.0.0,24.0.1,24.0.1,24.99.0,24.99.0,24.99.0,24.99.0
2023-05-03,24.0.1,25.99.0,22.0.0,24.0.1,24.0.1,24.0.1,24.99.0,24.0.1,24.99.0
2023-05-04,24.99.0,25.99.0,22.0.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-05-05,24.99.0,25.0.0,22.0.0,24.99.0,24.99.0,24.0.1,24.0.1,24.99.0,24.0.1
2023-05-06,24.99.0,25.99.0,22.0.0,24.0.1,24.99.0,25.99.0,24.99.0,24.0.1,24.99.0
2023-05-07,24.99.0,24.99.0,22.0.0,24.0.1,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1
2023-05-08,24.0.1,24.99.0,22.0.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1
2023-05-09,24.0.1,24.99.0,22.0.0,25.99.0,25.0.0,24.0.1,24.0.1,24.0.1,25.99.0
2023-05-10,24.0.1,24.0.1,22.0.0,25.99.0,25.0.0,24.0.1,24.0.1,24.0.1,24.0.1
2023-05-11,25.0.0,25.0.0,22.0.0,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1,25.99.0
2023-05-12,24.0.1,25.0.0,22.0.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1
2023-05-13,25.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0,24.0.1,25.99.0
2023-05-14,24.0.1,24.0.1,22.0.0,25.99.0,24.0.1,25.99.0,24.0.1,24.99.0,25.99.0
2023-05-15,24.0.1,24.0.1,22.0.0,24.99.0,24.99.0,25.99.0,25.0.0,25.0.0,24.0.1
2023-05-16,24.99.0,24.0.1,22.99.0,24.0.1,24.0.1,24.99.0,24.0.1,25.99.0,25.99.0
2023-05-17,24.0.1,25.0.0,22.0.0,24.0.1,24.0.1,25.99.0,25.0.0,24.0.1,24.0.1
2023-05-18,24.0.1,25.99.0,22.0.0,24.0.1,24.99.0,24.0.1,25.99.0,24.0.1,24.0.1
2023-05-19,24.0.1,25.99.0,22.0.0,24.99.0,25.99.0,24.0.1,24.0.1,24.99.0,24.99.0
2023-05-20,24.0.1,25.99.0,22.0.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1
2023-05-21,24.99.0,25.99.0,22.0.0,24.1.0,24.0.1,24.1.0,24.0.1,24.1.0,24.1.0
2023-05-22,24.0.1,25.99.0,22.0.0,24.0.1,24.0.1,24.99.0,25.99.0,24.0.1,25.99.0
2023-05-23,24.99.0,24.0.1,22.0.0,24.0.1,24.1.0,24.0.1,25.0.0,24.0.1,24.1.0
2023-05-24,25.0.0,25.99.0,22.99.0,25.99.0,24.0.1,24.1.0,24.99.0,24.0.1,25.99.0
2023-05-25,24.1.0,24.0.1,22.0.0,24.0.1,24.0.1,24.1.0,24.1.0,24.99.0,25.99.0
